,datetime,cluster,is_rain
0,2018-06-01 01,15,0
1,2018-06-01 02,15,0
2,2018-06-01 03,0,0
3,2018-06-01 04,0,0
4,2018-06-01 05,12,0
5,2018-06-01 06,12,0
6,2018-06-01 07,12,0
7,2018-06-01 08,15,0
8,2018-06-01 09,4,0
9,2018-06-01 10,11,0
10,2018-06-01 11,11,0
11,2018-06-01 12,2,0
12,2018-06-01 13,19,0
13,2018-06-01 14,19,0
14,2018-06-01 15,19,0
15,2018-06-01 16,19,0
16,2018-06-01 17,19,0
17,2018-06-01 18,2,0
18,2018-06-01 19,11,0
19,2018-06-01 20,11,0
20,2018-06-01 21,4,0
21,2018-06-01 22,4,0
22,2018-06-01 23,4,0
23,2018-06-02 00,4,0
24,2018-06-02 01,15,0
25,2018-06-02 02,0,0
26,2018-06-02 03,0,0
27,2018-06-02 04,0,0
28,2018-06-02 05,12,0
29,2018-06-02 06,12,0
30,2018-06-02 07,12,0
31,2018-06-02 08,15,0
32,2018-06-02 09,4,0
33,2018-06-02 10,11,0
34,2018-06-02 11,2,0
35,2018-06-02 12,2,0
36,2018-06-02 13,19,0
37,2018-06-02 14,19,0
38,2018-06-02 15,19,0
39,2018-06-02 16,19,0
40,2018-06-02 17,2,0
41,2018-06-02 18,11,0
42,2018-06-02 19,11,0
43,2018-06-02 20,4,0
44,2018-06-02 21,4,0
45,2018-06-02 22,4,0
46,2018-06-02 23,15,0
47,2018-06-03 00,0,0
48,2018-06-03 01,0,0
49,2018-06-03 02,0,0
50,2018-06-03 03,0,0
51,2018-06-03 04,12,0
52,2018-06-03 05,12,0
53,2018-06-03 06,12,0
54,2018-06-03 07,12,0
55,2018-06-03 08,15,0
56,2018-06-03 09,4,0
57,2018-06-03 10,11,0
58,2018-06-03 11,11,0
59,2018-06-03 12,2,0
60,2018-06-03 13,19,0
61,2018-06-03 14,19,0
62,2018-06-03 15,19,0
63,2018-06-03 16,19,0
64,2018-06-03 17,19,0
65,2018-06-03 18,19,0
66,2018-06-03 19,2,0
67,2018-06-03 20,11,0
68,2018-06-03 21,11,0
69,2018-06-03 22,4,0
70,2018-06-03 23,4,0
71,2018-06-04 00,4,0
72,2018-06-04 01,4,0
73,2018-06-04 02,15,0
74,2018-06-04 03,15,0
75,2018-06-04 04,15,0
76,2018-06-04 05,15,0
77,2018-06-04 06,15,0
78,2018-06-04 07,15,0
79,2018-06-04 08,4,0
80,2018-06-04 09,16,0
81,2018-06-04 10,11,0
82,2018-06-04 11,11,0
83,2018-06-04 12,11,0
84,2018-06-04 13,2,0
85,2018-06-04 14,11,0
86,2018-06-04 15,11,0
87,2018-06-04 16,11,0
88,2018-06-04 17,11,0
89,2018-06-04 18,16,0
90,2018-06-04 19,11,0
91,2018-06-04 20,4,0
92,2018-06-04 21,16,0
93,2018-06-04 22,4,0
94,2018-06-04 23,4,0
95,2018-06-05 00,15,0
96,2018-06-05 01,15,0
97,2018-06-05 02,15,0
98,2018-06-05 03,15,0
99,2018-06-05 04,15,0
100,2018-06-05 05,12,0
101,2018-06-05 06,12,0
102,2018-06-05 07,15,0
103,2018-06-05 08,4,0
104,2018-06-05 09,4,0
105,2018-06-05 10,11,0
106,2018-06-05 11,11,0
107,2018-06-05 12,2,0
108,2018-06-05 13,2,0
109,2018-06-05 14,2,0
110,2018-06-05 15,2,0
111,2018-06-05 16,2,0
112,2018-06-05 17,2,0
113,2018-06-05 18,11,0
114,2018-06-05 19,11,0
115,2018-06-05 20,11,0
116,2018-06-05 21,4,0
117,2018-06-05 22,4,0
118,2018-06-05 23,4,0
119,2018-06-06 00,4,0
120,2018-06-06 01,15,0
121,2018-06-06 02,15,0
122,2018-06-06 03,15,0
123,2018-06-06 04,15,0
124,2018-06-06 05,0,0
125,2018-06-06 06,0,0
126,2018-06-06 07,15,0
127,2018-06-06 08,4,0
128,2018-06-06 09,4,0
129,2018-06-06 10,11,0
130,2018-06-06 11,11,0
131,2018-06-06 12,2,0
132,2018-06-06 13,2,0
133,2018-06-06 14,2,0
134,2018-06-06 15,2,0
135,2018-06-06 16,2,0
136,2018-06-06 17,2,0
137,2018-06-06 18,11,0
138,2018-06-06 19,11,0
139,2018-06-06 20,4,0
140,2018-06-06 21,4,0
141,2018-06-06 22,15,0
142,2018-06-06 23,15,0
